Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Occupied beds (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil  Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (%),Waste recovery/recycling cost (%),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Total disabled parking spaces (No.),Total parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Total parking spaces available for staff (No.)
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,21478.00,21478.00,81.50,55843.00,13250.00,6.50,18426.00,3053.00,48.00,9.00,113.00,10.00,10.00,90.00,0.00,0.00,28.00,9.00,19.00,0.00,0.00,44.00,100.00,134000.00,307000.00,1686038.00,1467549.00,620256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1855408.00,4862107.00,333017.00,0.00,0.00,0.00,0.00,238341.00,0.00,336061.00,19599.00,32387.00,20.00,17100.00,33000.00,0.00,160.00,0.00,0.00,20.00,0.00,No,365.00,0.00,10.00,365.00,0.00,365.00
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RWX51,PROSPECT PARK HOSPITAL,MULTI-SERVICE HOSPITAL,13357.00,13357.00,100.00,34728.00,6500.00,4.17,9590.00,3767.00,0.00,0.00,144.00,79.00,60.00,125.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1384102.00,4014556.00,0.00,0.00,0.00,0.00,0.00,382004.00,0.00,300393.00,17795.00,32494.00,38.76,25362.00,38785.00,0.00,89.49,2.23,2207.00,40.00,0.00,No,160.00,0.00,12.00,160.00,0.00,160.00
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,ACUTE - LARGE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10793.00,8117.00,98.24,31768.00,4990.00,5.49,3718.00,4469.00,26.00,22.00,0.00,0.00,0.00,0.00,10.00,10.00,11.38,10.00,10.00,0.00,0.00,48.62,100.00,0.00,100390.00,1718300.00,197530.00,218158.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,488136.00,2913566.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124207.00,5054.00,12704.00,12.23,6045.00,9033.00,0.00,161.38,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Yes,753.00,0.00,5.00,315.00,0.03,433.00
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,ACUTE - LARGE,RWY01,HUDDERSFIELD ROYAL INFIRMARY,GENERAL ACUTE HOSPITAL,67620.00,66396.00,100.00,167591.00,16794.00,7.56,30452.00,35944.00,27.00,1.80,397.00,82.00,58.00,350.00,0.00,2.00,2.00,1.00,5.00,90.00,0.00,0.00,100.00,0.00,602000.00,8098060.00,6788060.00,1210616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8330501.00,10128045.00,375922.00,21850444.00,0.00,0.00,0.00,0.00,0.00,1326172.00,148115.00,264162.00,320.57,158409.00,246060.00,0.00,906.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Yes,896.00,1.50,53.00,257.00,0.03,586.00
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,ACUTE - LARGE,RWY02,CALDERDALE ROYAL HOSPITAL,GENERAL ACUTE HOSPITAL,55931.00,54044.00,92.00,143248.00,17115.00,7.36,30811.00,23233.00,8.00,4.00,440.00,147.00,0.00,347.00,0.00,77.37,0.55,0.00,3.68,0.00,0.00,18.40,100.00,0.00,0.00,0.00,268780.00,14146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10897156.00,18097376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1389808.00,66285.00,138258.00,266.98,132049.00,197336.00,No Data Provided,520.31,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Yes,794.00,1.50,48.00,342.00,0.03,404.00
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,ACUTE - LARGE,RWY44,ST. LUKE'S HOSPITAL,MULTI-SERVICE HOSPITAL,3673.00,3673.00,100.00,10364.00,17089.00,9.41,1815.00,1858.00,100.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,56.00,0.00,0.00,34.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183686.00,108609.00,0.00,1066471.00,0.00,0.00,0.00,0.00,0.00,42720.00,1460.00,4507.00,0.00,0.00,6081.00,0.00,70.26,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Yes,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RX1CC,NOTTINGHAM CITY HOSPITAL,GENERAL ACUTE HOSPITAL,153487.00,128506.00,83.80,353020.00,94710.00,30.69,107166.00,21340.00,32.12,9.00,735.00,94.00,205.00,623.00,14.58,12.71,17.43,12.52,17.06,1.52,0.62,23.56,100.00,0.00,1510000.00,33020000.00,22010000.00,3711200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26799177.00,11892660.00,101296.00,68348081.00,0.00,0.00,0.00,0.00,0.00,3537066.00,229844.00,412982.00,128.06,118022.00,540188.00,606.42,924.23,8.16,1689.00,46.40,5.99,Yes,2400.00,1.08,175.00,768.00,0.13,1457.00
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RX1NL,ROPEWALK CAMPUS,SUPPORT FACILITY,5670.00,5015.00,86.80,11740.00,1912.00,0.29,3366.00,601.00,51.51,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,120000.00,220000.00,140000.00,134400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760471.00,1249589.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106205.00,1965.00,4808.00,1.16,917.00,3768.00,0.00,17.97,0.00,0.00,11.98,8.15,No,0.00,0.00,0.00,0.00,0.00,0.00
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RX1RA,QUEEN'S MEDICAL CENTRE,GENERAL ACUTE HOSPITAL,187322.00,183906.00,92.41,393844.00,43795.00,15.35,78266.00,79353.00,36.74,9.00,896.00,135.00,120.00,777.00,0.00,8.24,2.13,88.90,0.73,0.00,0.00,0.00,100.00,0.00,6040000.00,16010000.00,10670000.00,6707000.00,1.00,4755.00,141919379.00,40699319.00,38985730.00,1213433.00,21734196.00,39105418.00,142118830.00,159167.00,0.00,0.00,0.00,0.00,0.00,0.00,4840207.00,361304.00,301308.00,827.44,321819.00,493628.00,0.00,1479.50,12.69,3567.00,11.48,4.98,Yes,1511.00,1.08,126.00,454.00,0.13,931.00
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,62405.00,59370.00,58.00,174033.00,37097.00,18.44,No Data Provided,No Data Provided,21.01,22.46,207.00,58.00,130.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,54797.00,617540.00,2380299.00,4150058.00,1094686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4159368.00,11417553.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,933394.00,57147.00,161214.00,3.71,6873.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX213,MILL VIEW HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,6075.00,6075.00,100.00,18225.00,6075.00,4.49,No Data Provided,No Data Provided,0.00,0.00,80.00,0.00,80.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,120678.00,109386.00,535094.00,141556.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959383.00,1488333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147911.00,11384.00,30300.00,0.53,202.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX214,NEVILL HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,2302.00,2302.00,0.00,6215.00,1726.00,0.23,No Data Provided,No Data Provided,0.00,0.00,35.00,35.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,25981.00,0.00,3248.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172771.00,606814.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30471.00,3507.00,8592.00,0.40,180.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX236,"CENTURION MENTAL HEALTH CENTRE, CHICHESTER",TREATMENT CENTRE,3345.00,3345.00,0.00,9986.00,3286.00,1.59,No Data Provided,No Data Provided,0.00,0.00,50.00,31.00,19.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388372.00,1131310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61048.00,3651.00,8952.00,11.43,4087.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX240,"THE HAROLD KIDD UNIT, CHICHESTER",NON-HOSPITAL (PATIENT),2306.00,2306.00,0.00,5636.00,1217.00,1.28,No Data Provided,No Data Provided,0.00,0.00,38.00,0.00,28.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230847.00,810658.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40709.00,3326.00,8155.00,10.68,3763.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX277,MEADOWFIELD,SPECIALIST HOSPITAL,3766.00,3766.00,100.00,11300.00,3212.00,0.73,No Data Provided,No Data Provided,0.00,0.00,50.00,50.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,7610.00,25106.00,909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163997.00,1409452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61599.00,8637.00,24241.00,0.09,299.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX2E7,DEPARTMENT OF PSYCHIATRY,SPECIALIST HOSPITAL,3900.00,3900.00,0.00,10216.00,2503.00,0.30,No Data Provided,No Data Provided,23.00,6.00,63.00,0.00,19.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,214733.00,333155.00,27340.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333781.00,1145000.00,0.00,0.00,0.00,60484.00,5591.00,15480.00,0.27,883.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX2F3,AMBERSTONE HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,4000.00,4000.00,100.00,12000.00,1605.00,1.19,No Data Provided,No Data Provided,10.00,4.00,28.00,4.00,24.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,110340.00,202590.00,83794.00,123881.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351600.00,954902.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58425.00,3856.00,10619.00,0.01,43.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX2K3,"ST ANNE'S CENTRE & EMI WARDS, ST. LEONARDS-ON-SEA",SHORT TERM NON-ACUTE HOSPITAL,2751.00,2751.00,100.00,8253.00,1513.00,2.04,No Data Provided,No Data Provided,26.00,4.00,29.00,0.00,5.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,75385.00,23588.00,4736.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,457365.00,238473.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46421.00,2962.00,8291.00,0.40,401.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX2L6,"WOODLANDS, ST. LEONARDS-ON-SEA",SHORT TERM NON-ACUTE HOSPITAL,1923.00,1923.00,100.00,5767.00,1940.00,1.28,No Data Provided,No Data Provided,0.00,0.00,23.00,23.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,25329.00,19833.00,1319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,327529.00,170775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33243.00,2122.00,5938.00,0.01,28.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX2P0,LANGLEY GREEN HOSPITAL,SPECIALIST HOSPITAL,5242.00,5242.00,100.00,15726.00,2883.00,1.32,No Data Provided,No Data Provided,0.00,0.00,69.00,69.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,0.00,36187.00,897.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540159.00,3007853.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135392.00,5477.00,13419.00,0.07,278.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,51807.00,42250.00,45.97,114076.00,36269.00,37.28,22848.00,16492.00,10.00,4.00,140.00,47.00,89.00,124.00,10.78,18.49,11.09,10.09,5.42,23.29,1.32,19.52,100.00,0.00,0.00,0.00,983900.00,32797.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2799471.00,7325916.00,0.00,0.00,0.00,0.00,0.00,0.00,33360.00,496775.00,24728.00,87432.00,8.01,13110.00,88183.00,13.11,359.40,2.49,250.00,8.23,2.52,No,362.00,0.00,18.00,362.00,0.00,362.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3AT,AUCKLAND PARK HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,4589.00,4589.00,100.00,12390.00,3102.00,0.50,3868.00,613.00,0.00,0.00,31.00,30.00,0.00,31.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,15000.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,686987.00,1728538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95035.00,3020.00,8931.00,0.06,33.00,6219.00,5.19,39.93,0.00,0.00,11.24,4.56,No,51.00,0.00,4.00,51.00,0.00,51.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3CL,LANCHESTER ROAD FKA EARLS HOUSE,SHORT TERM NON-ACUTE HOSPITAL,15833.00,15833.00,100.00,42749.00,18879.00,15.10,5562.00,8731.00,0.00,0.00,68.00,36.00,30.00,60.00,43.91,0.25,0.93,0.00,48.46,0.00,0.00,6.45,100.00,0.00,0.00,0.00,35520.00,1184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1743423.00,3113711.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216013.00,20037.00,38891.00,0.27,150.00,13800.00,2.83,89.92,3.97,898.00,27.17,28.12,No,546.00,0.00,8.00,546.00,0.00,546.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3CN,EARLS HOUSE BOWES LYON UNIT,SHORT TERM NON-ACUTE HOSPITAL,2323.00,2323.00,100.00,6272.00,2555.00,2.30,1742.00,494.00,0.00,0.00,20.00,8.00,12.00,25.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,5000.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,305709.00,1255428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52039.00,2881.00,6594.00,0.09,50.00,2300.00,0.94,13.19,0.58,132.00,26.36,24.75,No,25.00,0.00,1.00,25.00,0.00,25.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3FL,ROSEBERRY PARK FKA ST LUKE'S HOSPITAL,LONG STAY HOSPITAL,30498.00,30498.00,100.00,74516.00,17824.00,17.84,24777.00,4863.00,0.00,0.00,301.00,301.00,0.00,279.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3544678.00,7600991.00,114400.00,0.00,0.00,0.00,0.00,0.00,0.00,406784.00,39265.00,93419.00,0.00,0.00,27887.00,9.63,199.76,0.12,15.00,10.35,8.57,No,310.00,0.00,10.00,310.00,0.00,310.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3JD,BANKFIELDS COURT STEPHEN KNOX,TREATMENT CENTRE,1940.00,1940.00,100.00,3727.00,1100.00,1.00,1316.00,530.00,0.00,0.00,33.00,0.00,23.00,24.00,4.74,12.11,0.00,83.15,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,35000.00,1167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200380.00,791622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33584.00,788.00,4403.00,0.10,29.00,9611.00,4.81,65.19,0.00,0.00,9.59,4.13,No,32.00,0.00,0.00,0.00,0.00,32.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3LF,WEST LANE HOSPITAL,LONG STAY HOSPITAL,5808.00,5808.00,86.14,12821.00,5184.00,2.74,3458.00,2118.00,0.00,0.00,24.00,12.00,12.00,23.00,16.09,49.00,0.00,0.00,3.41,0.00,31.50,0.00,100.00,0.00,0.00,0.00,10000.00,333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411154.00,760105.00,0.00,0.00,0.00,0.00,0.00,0.00,11280.00,50744.00,12618.00,35792.00,0.31,526.00,7009.00,0.65,33.52,0.44,145.00,41.31,28.62,No,134.00,0.00,8.00,2.00,0.00,132.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3LK,CROSS LANE HOSPITAL,LONG STAY HOSPITAL,3391.00,3391.00,100.00,10341.00,3730.00,3.16,2549.00,719.00,0.00,0.00,45.00,31.00,4.00,44.00,0.68,36.58,0.00,0.00,20.19,0.00,42.55,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,415792.00,1011385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56390.00,4891.00,12158.00,1.09,1465.00,10514.00,1.45,69.35,0.00,0.00,16.63,8.13,No,50.00,0.00,2.00,50.00,0.00,0.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3MM,WEST PARK HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,10468.00,10468.00,100.00,28264.00,11515.00,3.65,7192.00,2210.00,0.00,0.00,96.00,81.00,15.00,89.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1220825.00,2693335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161419.00,10153.00,31039.00,0.36,206.00,6697.00,2.40,52.79,0.00,0.00,11.49,4.80,No,165.00,0.00,12.00,165.00,0.00,165.00
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RX3NH,SANDWELL PARK,TREATMENT CENTRE,1974.00,1974.00,100.00,5330.00,2171.00,0.11,1678.00,202.00,0.00,0.00,36.00,17.00,19.00,34.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,47000.00,1567.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262228.00,1083909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37360.00,2932.00,8056.00,0.02,29.00,4568.00,0.98,17.56,0.00,0.00,34.02,12.74,No,41.00,0.00,3.00,41.00,0.00,41.00
