Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT15,DAVID BROMLEY HOUSE,GENERAL ACUTE HOSPITAL,665.00,665.00,100.00,1862.00,665.00,0.40,600.00,65.00,0.00,0.00,0.00,13.00,13.00,0.00,13.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,101000.00,69000.00,23000.00,193000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14000.00,433000.00,0.00,0.00,0.00,0.00,0.00,56000.00,0.00,16500.00,1200.00,3750.00,0.00,3981.00,0.67,2.85,0.00,0.00,0.46,16.27,2619.00,No,8.00,0.00,1.00,0.00,0.00,0.00,No,6.72,2.00,14235.00,29423.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT18,ENDEAVOUR COURT 210 RESERVOIR ROAD,COMMUNITY HOSPITAL,921.00,921.00,100.00,2579.00,921.00,0.36,800.00,121.00,0.00,0.00,0.00,14.00,13.00,14.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,41000.00,0.00,8200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69186.00,328249.00,0.00,0.00,0.00,0.00,0.00,23062.00,0.00,17654.00,2097.00,6455.00,0.00,1985.00,0.00,2.81,0.00,0.00,0.00,16.19,1699.00,No,6.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,15330.00,67076.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT19,ENDEAVOUR HOUSE 202 RESERVOIR ROAD,COMMUNITY HOSPITAL,367.00,367.00,100.00,1028.00,367.00,0.36,300.00,67.00,0.00,0.00,0.00,12.00,11.00,0.00,12.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,2000.00,15000.00,67000.00,16910.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69186.00,328249.00,0.00,0.00,0.00,0.00,0.00,23062.00,0.00,17654.00,1398.00,4303.00,0.00,1908.00,0.00,2.81,0.00,0.00,0.00,15.90,1622.00,No,72.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,13140.00,60724.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT22,FORWARD HOUSE SLADE ROAD,COMMUNITY HOSPITAL,500.00,500.00,100.00,1400.00,500.00,0.28,420.00,80.00,0.00,0.00,0.00,12.00,10.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,2000.00,19000.00,0.00,4230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49010.00,298027.00,0.00,0.00,0.00,0.00,0.00,16337.00,0.00,20143.00,1398.00,4303.00,0.00,1773.00,0.00,2.61,0.00,0.00,0.00,14.78,1507.00,No,15.00,0.00,2.00,0.00,0.00,0.00,No,5.48,3.00,13140.00,24007.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT24,GROVE AVENUE,GENERAL ACUTE HOSPITAL,397.00,397.00,0.00,1112.00,250.00,0.15,300.00,97.00,0.00,0.00,0.00,10.00,9.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,2000.00,125000.00,17000.00,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10914.00,167919.00,0.00,0.00,0.00,0.00,0.00,43657.00,0.00,16220.00,1190.00,3084.00,0.00,1465.00,0.17,1.51,0.00,0.00,0.09,8.55,1065.00,No,3.00,0.00,0.00,0.00,0.00,0.00,None,4.00,2.00,10950.00,17520.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT27,HERTFORD HOUSE,COMMUNITY HOSPITAL,484.00,484.00,100.00,1355.00,180.00,0.09,400.00,84.00,0.00,0.00,0.00,10.00,9.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,23000.00,150000.00,32000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7956.00,137325.00,0.00,0.00,0.00,0.00,0.00,31826.00,0.00,10458.00,1032.00,2840.00,0.00,1185.00,0.06,1.32,0.00,0.00,0.05,7.66,978.00,No,4.00,0.00,1.00,0.00,0.00,0.00,No,4.00,2.00,10950.00,17520.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT28,HIGHCROFT HOSPITAL - GEORGE WARD,GENERAL ACUTE HOSPITAL,1050.00,1050.00,100.00,2940.00,800.00,0.50,600.00,450.00,0.00,0.00,0.00,18.00,17.00,1.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,46500.00,15000.00,90000.00,10000.00,32250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,312975.00,0.00,0.00,0.00,0.00,0.00,100000.00,0.00,28318.00,1398.00,4303.00,0.00,1958.00,0.00,2.81,0.00,0.00,0.00,16.09,1672.00,No,23.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,19710.00,79179.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT29,HILLIS LODGE,GENERAL ACUTE HOSPITAL,1095.00,1095.00,100.00,3066.00,1095.00,0.98,700.00,395.00,0.00,0.00,0.00,14.00,12.00,0.00,14.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,30000.00,221000.00,52000.00,34000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15000.00,325533.00,0.00,0.00,0.00,0.00,0.00,60000.00,0.00,30512.00,1500.00,4000.00,0.00,1368.00,0.20,1.46,0.00,0.00,0.01,8.56,980.00,No,11.00,0.00,2.00,0.00,0.00,0.00,No,6.55,2.00,13140.00,28707.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT30,HOLLYHILL,GENERAL ACUTE HOSPITAL,1600.00,1600.00,100.00,4480.00,1600.00,0.83,1100.00,500.00,0.00,0.00,0.00,30.00,19.00,0.00,30.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,44000.00,20000.00,84000.00,45000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20442.00,446218.00,0.00,0.00,0.00,0.00,0.00,81767.00,0.00,37119.00,1626.00,4088.00,0.00,3048.00,0.00,4.43,0.00,0.00,0.00,25.27,2596.00,No,14.00,0.00,2.00,0.00,0.00,0.00,No,4.89,2.00,32850.00,49952.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT47,MARY SEACOLE HOUSE,SHORT TERM NON-ACUTE HOSPITAL,1980.00,1980.00,100.00,5544.00,1600.00,0.70,1450.00,530.00,0.00,0.00,0.00,42.00,38.00,34.00,8.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,9000.00,119000.00,0.00,25560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184643.00,662898.00,0.00,0.00,0.00,0.00,0.00,61548.00,0.00,54228.00,438.00,3150.00,0.00,4772.00,0.00,6.25,0.00,0.00,0.00,37.66,4134.00,No,36.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,45648.00,200283.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT51,NEWBRIDGE HOUSE,SHORT TERM NON-ACUTE HOSPITAL,1710.00,1710.00,100.00,4788.00,1400.00,0.50,1350.00,360.00,0.00,0.00,0.00,20.00,19.00,1.00,19.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,51000.00,127000.00,0.00,35520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42141.00,608498.00,0.00,0.00,0.00,0.00,0.00,168562.00,0.00,61604.00,1527.00,7853.00,0.00,4019.00,0.61,4.17,0.00,0.00,0.22,25.26,3017.00,No,32.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,21900.00,60517.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT64,REASIDE CLINIC,SPECIALIST HOSPITAL,6226.00,6226.00,100.00,17433.00,4000.00,5.17,5200.00,1026.00,0.00,0.00,0.00,92.00,92.00,0.00,92.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,143000.00,754000.00,75000.00,154000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,761108.00,2565252.00,0.00,0.00,0.00,0.00,0.00,253703.00,0.00,213529.00,10231.00,35594.00,0.00,17188.00,1.25,26.82,0.35,0.00,0.48,92.09,10370.00,No,153.00,0.00,3.00,0.00,0.00,0.00,No,12.29,2.00,100740.00,412850.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT65,RESERVOIR COURT,LONG STAY HOSPITAL,1784.00,1784.00,100.00,4995.00,1400.00,0.54,1400.00,384.00,0.00,0.00,0.00,24.00,22.00,16.00,8.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,117000.00,3000.00,24100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100508.00,383917.00,0.00,0.00,0.00,0.00,0.00,33503.00,0.00,33177.00,2796.00,8606.00,0.00,6438.00,3.20,2.81,0.00,0.00,1.34,16.62,4131.00,No,30.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,26280.00,122049.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT67,ROSS HOUSE,SHORT TERM NON-ACUTE HOSPITAL,605.00,605.00,100.00,1694.00,250.00,0.15,550.00,55.00,0.00,0.00,0.00,13.00,11.00,12.00,1.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,192000.00,58000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9709.00,251112.00,0.00,0.00,0.00,0.00,0.00,38838.00,0.00,17009.00,1166.00,3274.00,0.00,1474.00,0.18,1.46,0.00,0.00,0.13,8.41,1082.00,No,10.00,0.00,0.00,0.00,0.00,0.00,No,4.25,2.00,13140.00,12058.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT76,BRUCE BURNS AND ICA,GENERAL ACUTE HOSPITAL,1050.00,1050.00,0.00,2940.00,1050.00,0.40,900.00,150.00,0.00,0.00,0.00,20.00,19.00,0.00,20.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,5000.00,16000.00,50000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00,500000.00,0.00,0.00,0.00,0.00,0.00,10000.00,0.00,25000.00,2500.00,7000.00,0.00,1580.00,0.50,1.30,0.00,0.00,0.20,1.70,680.00,No,63.00,0.00,8.00,0.00,0.00,0.00,No,12.14,2.00,21900.00,56118.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT96,"DAN MOONEY HOUSE, KNOWLE",COMMUNITY HOSPITAL,665.00,665.00,100.00,1862.00,665.00,0.40,600.00,65.00,0.00,0.00,0.00,17.00,15.00,0.00,17.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,201000.00,11000.00,44000.00,202000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14000.00,433000.00,0.00,0.00,0.00,0.00,0.00,56000.00,0.00,16500.00,1200.00,3750.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,0.21,67.00,No,8.00,0.00,1.00,0.00,0.00,0.00,No,6.33,2.00,18615.00,36989.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXT99,"EDEN UNIT, ERDINGTON",COMMUNITY HOSPITAL,1230.00,1230.00,100.00,3444.00,1230.00,0.60,1100.00,130.00,0.00,0.00,0.00,26.00,25.00,5.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,57000.00,0.00,11400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26449.00,603048.00,0.00,0.00,0.00,0.00,0.00,105795.00,0.00,46526.00,2097.00,6455.00,0.00,3921.00,0.00,5.57,0.00,0.00,0.00,32.08,3353.00,No,26.00,0.00,2.00,0.00,0.00,0.00,No,8.29,4.80,28470.00,128100.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXTD2,THE ZINNIA CENTRE,SPECIALIST HOSPITAL,4331.00,4331.00,100.00,12127.00,2600.00,0.98,2400.00,1931.00,0.00,0.00,0.00,32.00,32.00,32.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,403728.00,1161265.00,6000.00,0.00,0.00,0.00,0.00,134576.00,0.00,112000.00,9000.00,19000.00,0.00,8873.00,0.64,9.89,0.00,0.00,0.36,59.15,7388.00,No,44.00,0.00,3.00,44.00,0.00,0.00,No,11.25,2.00,35040.00,131434.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXTD3,THE BARBERRY CENTRE,SPECIALIST HOSPITAL,8913.00,8913.00,100.00,24956.00,4800.00,1.33,3900.00,5013.00,0.00,0.00,0.00,33.00,24.00,33.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,937328.00,2023041.00,10000.00,0.00,0.00,0.00,0.00,312443.00,0.00,197500.00,3640.00,7600.00,0.00,8228.00,1.11,9.39,0.00,0.00,0.43,50.58,6376.00,Yes,76.00,0.00,7.00,10.00,1.36,0.01,No,12.33,2.00,82500.00,144051.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXTD4,THE OLEASTER CENTRE,SPECIALIST HOSPITAL,7200.00,7200.00,100.00,20160.00,5400.00,2.37,5800.00,1400.00,0.00,0.00,0.00,74.00,63.00,74.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,486577.00,2023041.00,10000.00,0.00,0.00,0.00,0.00,162192.00,0.00,137500.00,3640.00,7600.00,0.00,8228.00,1.11,9.39,0.00,0.00,0.43,50.58,6376.00,Yes,78.00,0.00,9.00,10.00,1.36,0.01,No,11.97,2.00,81030.00,323272.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXTD5,JUNIPER CENTRE,LONG STAY HOSPITAL,5246.00,5246.00,100.00,14689.00,3000.00,0.99,3830.00,1416.00,0.00,0.00,0.00,54.00,49.00,54.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,30000.00,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,462790.00,1110422.00,0.00,0.00,0.00,0.00,0.00,154263.00,0.00,114798.00,2942.00,11100.00,0.00,9476.00,0.68,14.20,0.00,0.00,0.60,43.67,5573.00,No,35.00,0.00,6.00,0.00,0.00,0.00,No,7.15,2.00,59130.00,141000.00
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXTD6,TAMARIND CENTRE,TREATMENT CENTRE,8261.00,8261.00,100.00,24033.00,6760.00,4.85,6011.00,2250.00,0.00,0.00,0.00,89.00,84.00,89.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1050418.00,1827016.00,70000.00,0.00,0.00,0.00,0.00,350139.00,0.00,218698.00,15716.00,35919.00,0.00,7224.00,0.96,7.72,0.00,0.00,0.52,44.53,5875.00,No,211.00,0.00,14.00,0.00,0.00,0.00,No,5.45,2.00,79570.00,161667.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,13815.00,12542.00,51.00,37258.00,9436.00,2.42,1295.00,13087.00,38.51,38.51,14.88,0.00,0.00,0.00,0.00,6.71,0.00,23.45,3.85,10.86,8.64,3.07,43.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,726765.00,1985550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178990.00,9352.00,38765.00,17.70,55898.00,0.00,8.58,0.00,0.00,0.00,36.38,7501.00,No,154.00,0.00,19.00,0.00,0.00,0.18,No,8.78,6.00,3640.00,33475.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXV06,PRESTWICH HOSPITAL,SPECIALIST HOSPITAL,32165.00,32165.00,100.00,94967.00,26394.00,17.00,19476.00,12635.00,13.13,4.51,0.00,289.00,275.00,94.00,75.00,22.50,12.94,29.47,9.62,2.63,0.49,0.00,22.35,100.00,0.00,1001448.00,2395782.00,0.00,3493061.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4330192.00,8388415.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,642372.00,40564.00,85620.00,10.47,65240.00,0.00,63.69,0.00,0.00,0.00,206.97,42053.00,Yes,578.00,0.00,32.00,0.00,0.50,0.16,No,8.78,13.00,235235.00,920571.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXV15,WOODLANDS HOSPITAL,LONG STAY HOSPITAL,3404.00,3365.00,100.00,9241.00,3365.00,3.05,3143.00,0.00,0.00,0.00,25.00,20.00,16.00,0.00,20.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383304.00,1400644.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79938.00,3982.00,11518.00,3.97,8756.00,0.00,2.00,0.00,0.00,0.00,15.84,5028.00,No,49.00,0.00,5.00,0.00,0.00,0.00,No,8.78,5.00,21840.00,65920.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXV17,MEADOWBROOK (MANCHESTER),GENERAL ACUTE HOSPITAL,4392.00,4392.00,100.00,9691.00,2550.00,0.30,3924.00,0.00,0.00,0.00,0.00,67.00,56.00,17.00,50.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,35000.00,0.00,36400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,511369.00,1067097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80884.00,8568.00,28622.00,2.15,9337.00,0.00,5.22,0.00,0.00,0.00,47.29,6656.00,No,38.00,0.00,2.00,0.00,0.66,0.16,No,8.78,17.00,61152.00,187461.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXV18,DEPARTMENT OF PSYCHIATRY OF LATER LIFE,LONG STAY HOSPITAL,1411.00,1411.00,100.00,3176.00,1046.00,0.30,753.00,658.00,0.00,0.00,0.00,15.00,15.00,15.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242299.00,505618.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38325.00,4060.00,13562.00,4.36,5864.00,0.00,1.68,0.00,0.00,0.00,15.20,2140.00,No,0.00,0.00,0.00,0.00,0.00,0.16,No,8.78,12.00,16380.00,50213.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXV60,THE ROYAL BOLTON HOSPITAL,GENERAL ACUTE HOSPITAL,8385.00,8385.00,100.00,21539.00,6914.00,2.30,7726.00,0.00,0.00,0.00,0.00,98.00,92.00,18.00,76.00,0.00,25.86,69.29,0.00,4.85,0.00,0.00,0.00,100.00,0.00,0.00,90000.00,0.00,93600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,667156.00,13720.00,0.00,0.00,0.00,5073578.00,0.00,0.00,0.00,138773.00,7065.00,16041.00,44.92,36111.00,0.00,12.03,0.00,0.00,0.00,0.00,0.00,No,155.00,0.00,8.00,0.00,0.13,0.48,No,0.00,0.00,0.00,0.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXV80,TRAFFORD HOSPITAL SITE,GENERAL ACUTE HOSPITAL,3731.00,3731.00,100.00,9092.00,2571.00,0.81,3437.00,0.00,0.00,0.00,0.00,70.00,63.00,4.00,66.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189553.00,1177499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58885.00,5012.00,12044.00,4.08,9757.00,0.00,8.58,0.00,0.00,0.00,21.56,4491.00,No,75.00,0.00,6.00,0.00,0.60,0.60,No,0.00,0.00,0.00,0.00
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RXVG8,BRAMLEY STREET,LONG STAY HOSPITAL,559.00,559.00,100.00,1342.00,317.00,0.36,497.00,62.00,0.00,0.00,0.00,12.00,8.00,0.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41041.00,148857.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9659.00,686.00,3380.00,0.69,2332.00,0.00,0.38,0.00,0.00,0.00,3.58,841.00,No,5.00,0.00,1.00,0.00,0.00,0.00,No,8.78,6.00,4368.00,40170.00
